t,t_norm,snr_linear,snr_cosine,snr_cosine_match_linear
466,0.46646646646646645,0.12168219685554504,1.1988412141799927,1.581912875175476
467,0.4674674674674675,0.1204003095626831,1.1913608312606812,1.5725526809692383
468,0.46846846846846846,0.1191306859254837,1.1839293241500854,1.563252568244934
469,0.4694694694694695,0.11787320673465729,1.1765458583831787,1.5540117025375366
470,0.47047047047047047,0.1166277676820755,1.1692110300064087,1.5448310375213623
471,0.47147147147147145,0.11539425700902939,1.1619229316711426,1.5357073545455933
472,0.4724724724724725,0.1141725704073906,1.1546820402145386,1.5266419649124146
473,0.47347347347347346,0.11296260356903076,1.1474875211715698,1.5176340341567993
474,0.4744744744744745,0.11176422983407974,1.1403403282165527,1.5086843967437744
475,0.4754754754754755,0.11057737469673157,1.133238434791565,1.499790072441101
476,0.47647647647647645,0.10940192639827728,1.1261826753616333,1.490952968597412
477,0.4774774774774775,0.10823776572942734,1.1191715002059937,1.482170820236206
478,0.47847847847847846,0.10708481073379517,1.1122053861618042,1.4734442234039307
479,0.4794794794794795,0.10594294220209122,1.1052839756011963,1.4647728204727173
480,0.4804804804804805,0.10481209307909012,1.0984065532684326,1.4561553001403809
481,0.48148148148148145,0.10369212925434113,1.0915732383728027,1.4475921392440796
482,0.4824824824824825,0.10258299112319946,1.0847827196121216,1.4390816688537598
483,0.48348348348348347,0.10148453712463379,1.078035831451416,1.4306249618530273
484,0.4844844844844845,0.10039670020341873,1.0713318586349487,1.4222207069396973
485,0.4854854854854855,0.09931937605142593,1.0646703243255615,1.4138691425323486
486,0.4864864864864865,0.09825248271226883,1.0580506324768066,1.4055687189102173
487,0.4874874874874875,0.09719591587781906,1.0514724254608154,1.3973197937011719
488,0.48848848848848847,0.09614957869052887,1.0449360609054565,1.3891221284866333
489,0.4894894894894895,0.09511338919401169,1.0384401082992554,1.380974292755127
490,0.4904904904904905,0.09408726543188095,1.0319851636886597,1.3728770017623901
491,0.4914914914914915,0.0930710881948471,1.0255708694458008,1.364829421043396
492,0.4924924924924925,0.09206479787826538,1.019196629524231,1.3568315505981445
493,0.4934934934934935,0.09106828272342682,1.0128618478775024,1.3488823175430298
494,0.4944944944944945,0.09008147567510605,1.0065667629241943,1.3409816026687622
495,0.4954954954954955,0.08910428732633591,1.0003116130828857,1.3331300020217896
496,0.4964964964964965,0.08813662827014923,0.994094729423523,1.3253257274627686
497,0.4974974974974975,0.08717840164899826,0.9879162311553955,1.3175686597824097
498,0.4984984984984985,0.08622953295707703,0.981776237487793,1.309858798980713
499,0.4994994994994995,0.08528994768857956,0.9756747484207153,1.3021962642669678
500,0.5005005005005005,0.0843595489859581,0.9696101546287537,1.294579029083252
501,0.5015015015015015,0.08343826979398727,0.9635836482048035,1.2870088815689087
502,0.5025025025025025,0.08252601325511932,0.9575936198234558,1.2794833183288574
503,0.5035035035035035,0.08162269741296768,0.9516405463218689,1.272003412246704
504,0.5045045045045045,0.08072826266288757,0.9457241296768188,1.2645686864852905
505,0.5055055055055055,0.07984261959791183,0.9398446083068848,1.2571792602539062
506,0.5065065065065065,0.0789656862616539,0.9340001940727234,1.2498329877853394
507,0.5075075075075075,0.0780973806977272,0.9281914234161377,1.2425304651260376
508,0.5085085085085085,0.07723763585090637,0.9224187731742859,1.2352722883224487
509,0.5095095095095095,0.07638636976480484,0.916681170463562,1.228057622909546
510,0.5105105105105106,0.07554350793361664,0.9109782576560974,1.2208850383758545
511,0.5115115115115115,0.0747089758515358,0.9053100943565369,1.2137551307678223
512,0.5125125125125125,0.07388269901275635,0.8996765613555908,1.2066683769226074
513,0.5135135135135135,0.07306461036205292,0.8940767049789429,1.1996227502822876
514,0.5145145145145145,0.07225462049245834,0.8885112404823303,1.1926194429397583
515,0.5155155155155156,0.07145267724990845,0.8829792141914368,1.1856571435928345
516,0.5165165165165165,0.07065869122743607,0.8774802684783936,1.1787352561950684
517,0.5175175175175175,0.06987260282039642,0.872014582157135,1.1718546152114868
518,0.5185185185185185,0.06909433007240295,0.8665823340415955,1.1650149822235107
519,0.5195195195195195,0.06832381337881088,0.8611820340156555,1.1582143306732178
520,0.5205205205205206,0.06756098568439484,0.8558140993118286,1.1514538526535034
521,0.5215215215215215,0.06680577248334885,0.8504785895347595,1.14473295211792
522,0.5225225225225225,0.06605809926986694,0.8451752662658691,1.1380516290664673
523,0.5235235235235235,0.06531790643930435,0.8399033546447754,1.1314088106155396
524,0.5245245245245245,0.0645851269364357,0.8346631526947021,1.1248053312301636
525,0.5255255255255256,0.06385970115661621,0.8294539451599121,1.1182392835617065
526,0.5265265265265265,0.06314154714345932,0.8242758512496948,1.1117117404937744
527,0.5275275275275275,0.06243060901761055,0.8191286325454712,1.1052223443984985
528,0.5285285285285285,0.06172681599855423,0.8140118718147278,1.0987699031829834
529,0.5295295295295295,0.06103011965751648,0.8089251518249512,1.0923547744750977
530,0.5305305305305306,0.06034043803811073,0.8038687109947205,1.0859763622283936
531,0.5315315315315315,0.05965772271156311,0.79884272813797,1.079635739326477
532,0.5325325325325325,0.058981895446777344,0.7938458323478699,1.0733305215835571
533,0.5335335335335335,0.058312904089689255,0.7888787984848022,1.0670617818832397
534,0.5345345345345346,0.05765068903565407,0.7839402556419373,1.0608285665512085
535,0.5355355355355356,0.05699518322944641,0.7790313959121704,1.0546313524246216
536,0.5365365365365365,0.056346334517002106,0.7741513848304749,1.0484699010849
537,0.5375375375375375,0.05570407211780548,0.7692998051643372,1.0423426628112793
538,0.5385385385385385,0.05506834760308266,0.7644771337509155,1.0362515449523926
539,0.5395395395395396,0.05443909391760826,0.7596818804740906,1.0301936864852905
540,0.5405405405405406,0.05381625145673752,0.7549152374267578,1.024170994758606
541,0.5415415415415415,0.05319977179169655,0.7501762509346008,1.0181825160980225
542,0.5425425425425425,0.05258959159255028,0.7454648613929749,1.0122276544570923
543,0.5435435435435435,0.051985643804073334,0.7407810091972351,1.0063064098358154
544,0.5445445445445446,0.05138789489865303,0.7361240983009338,1.0004183053970337
545,0.5455455455455456,0.0507962703704834,0.7314949035644531,0.9945643544197083
546,0.5465465465465466,0.05021072179079056,0.7268921136856079,0.9887427091598511
547,0.5475475475475475,0.04963119328022003,0.722316324710846,0.9829540848731995
548,0.5485485485485485,0.04905762895941734,0.7177664637565613,0.9771973490715027
549,0.5495495495495496,0.04848996922373772,0.713243305683136,0.9714730978012085
550,0.5505505505505506,0.04792817682027817,0.7087461352348328,0.9657809138298035
551,0.5515515515515516,0.047372180968523026,0.7042754292488098,0.9601211547851562
552,0.5525525525525525,0.04682193696498871,0.6998301148414612,0.9544925689697266
553,0.5535535535535535,0.04627739265561104,0.6954101324081421,0.9488949179649353
554,0.5545545545545546,0.045738495886325836,0.6910158395767212,0.9433287382125854
555,0.5555555555555556,0.045205190777778625,0.6866466999053955,0.9377934336662292
556,0.5565565565565566,0.044677432626485825,0.6823028326034546,0.9322888851165771
557,0.5575575575575575,0.04415516182780266,0.6779834032058716,0.9268144369125366
558,0.5585585585585585,0.04363834112882614,0.6736895442008972,0.9213711023330688
559,0.5595595595595596,0.0431269034743309,0.6694197654724121,0.9159574508666992
560,0.5605605605605606,0.04262081906199455,0.6651743650436401,0.9105735421180725
561,0.5615615615615616,0.04212002456188202,0.6609532833099365,0.9052196145057678
562,0.5625625625625625,0.04162447527050972,0.6567557454109192,0.8998942971229553
563,0.5635635635635635,0.041134122759103775,0.652582585811615,0.8945989608764648
564,0.5645645645645646,0.0406489260494709,0.6484336256980896,0.8893331289291382
565,0.5655655655655656,0.04016882926225662,0.644307553768158,0.8840951919555664
566,0.5665665665665666,0.03969378024339676,0.6402052044868469,0.8788865208625793
567,0.5675675675675675,0.039223745465278625,0.6361257433891296,0.8737059235572815
568,0.5685685685685685,0.03875867277383804,0.6320698261260986,0.8685538172721863
569,0.5695695695695696,0.03829851746559143,0.6280366778373718,0.8634297251701355
570,0.5705705705705706,0.03784322738647461,0.6240265965461731,0.8583337664604187
571,0.5715715715715716,0.03739277273416519,0.6200391054153442,0.8532654643058777
572,0.5725725725725725,0.036947090178728104,0.6160738468170166,0.848224401473999
573,0.5735735735735735,0.03650614619255066,0.6121314167976379,0.8432111740112305
574,0.5745745745745746,0.03606989607214928,0.6082109212875366,0.8382249474525452
575,0.5755755755755756,0.035638291388750076,0.6043124198913574,0.8332654237747192
576,0.5765765765765766,0.03521129488945007,0.6004356145858765,0.8283324837684631
577,0.5775775775775776,0.034788861870765686,0.5965811610221863,0.8234269022941589
578,0.5785785785785785,0.03437094762921333,0.5927479863166809,0.8185473084449768
579,0.5795795795795796,0.03395750746130943,0.5889365673065186,0.8136942386627197
580,0.5805805805805806,0.0335485078394413,0.5851462483406067,0.8088670372962952
581,0.5815815815815816,0.03314390033483505,0.5813771486282349,0.8040657639503479
582,0.5825825825825826,0.03274364396929741,0.5776292085647583,0.799290120601654
583,0.5835835835835835,0.032347701489925385,0.5739023089408875,0.7945404648780823
